Mã sản phẩm,Mã shop,Tên sản phẩm,Giá,Số lượng,Tên shop,Trạng thái đơn hàng,Giao hàng vào lúc
17656221764,16969108,Minisize La Roche Posay Serum Hyalu B5 Dưỡng Chất Chuyên Sâu Tái Tạo Làn Da Giúp Săn Chắc Và Đàn Hồi Hơn 10ml,162000.0,1,NỞ COSMETIC,Giao hàng thành công,2022-08-22 15:23:58
2301494097,2174371,[Mini] Sữa Rửa Mặt La Roche Posay dành cho da dầu mụn 50ml,75000.0,1,3011 Store,Giao hàng thành công,2022-07-20 12:41:18
2301494097,2174371,[Mini] Sữa Rửa Mặt La Roche Posay dành cho da dầu mụn 50ml,74999.0,1,3011 Store,,
4361622818,24262855,"SERUM HYALU B5 LA ROCHE POSAY 30ml, 10ml ( b5 laroche posay)",159000.0,1,huynh.huynhle,Giao hàng thành công,2022-07-10 15:05:39
1979422317,39661159,Kem Đánh Răng Crest 3D White Advanced 158gr – Mỹ,108000.0,1,VTP  Store,Giao hàng thành công,2022-07-10 15:05:39
6311324330,44538820,[Cực Thơm]NƯỚC HOA MINI NỮ GOOD.GIRL 20ML ĐI HỌC,143000.0,1,Nước hoa mini Đà Nẵng,Giao hàng thành công,2022-06-27 09:05:46
6311324330,44538820,[Cực Thơm]NƯỚC HOA MINI NỮ GOOD.GIRL 20ML ĐI HỌC,143000.0,1,Nước hoa mini Đà Nẵng,,
10813224302,321094608,"Dr Mai, Serum sạch mụn Dr Mai 5ml, lựa chọn hoàn hảo cho làn da mụn",225000.0,1,Mỹ Phẩm Phương Thắm,Giao hàng thành công,2022-06-19 12:36:55
10813224302,321094608,"Dr Mai, Serum sạch mụn Dr Mai 5ml, lựa chọn hoàn hảo cho làn da mụn",225000.0,1,Mỹ Phẩm Phương Thắm,,
15919849665,364465109,Miếng dán tóc mái không in hằn dấu vết cho nữ,11000.0,1,Hairacc2030.vn,Giao hàng thành công,2022-06-16 13:51:17
13280299844,89827191,Ốp lưng iphone Joy Bear Roro trong cạnh vuông 6/6plus/6s/6splus/7/7plus/8/8plus/x/xr/xs/11/12/13/pro/max/plus/promax,1000.0,1,SHIN CASE - ỐP LƯNG - MÔ HÌNH,Giao hàng thành công,2022-06-08 09:49:20
4050820296,60198359,"[Rẻ vô địch] Vỏ bọc bảo vệ vali kéo trong suốt, túi bọc vali trong dày dặn đủ size hàng có sẵn,bao đẹp.",55000.0,1,Shop vali Halinh,Giao hàng thành công,2022-06-07 13:49:39
8616253381,201733620,WAX LÔNG AN LÀNH AN TOÀN TUYỆT ĐỐI 100% THIÊN NHIÊN Wax lông tay chân nách,58000.0,1,JOMA SHOP,Giao hàng thành công,2022-05-16 09:18:58
15206652660,603680738,"Khăn mặt khô Animerry dùng 1 lần lau khô, lau ướt , Giấy lau mặt dùng một lần Thế Giới Khăn",18500.0,1,Thế Giới Khăn Lau,Giao hàng thành công,2022-05-09 12:16:58
